Intensitätsminuten
,Aktuell,Ziel
2023-03-20,1280,150
2023-03-21,836,150
2023-03-22,0,150
2023-03-23,20,150
2023-03-24,98,150
2023-03-25,146,150
2023-03-26,45,150
