,Hochgestiegen Stockwerke,Hinabgestiegen Stockwerke,Ziel
Mrz 28,12,8,10
Mrz 29,3,2,10
Mrz 30,7,4,10
Mrz 31,12,7,10
Apr 1,15,10,10
Apr 2,15,9,10
Apr 3,39,23,10
Apr 4,33,30,10
Apr 5,17,15,10
Apr 6,15,14,10
Apr 7,0,0,10
Apr 8,17,18,10
Apr 9,0,0,10
Apr 10,31,18,10
Apr 11,12,8,10
Apr 12,24,14,10
Apr 13,20,13,10
Apr 14,34,25,10
Apr 15,0,0,10
Apr 16,10,5,10
Apr 17,23,10,10
Apr 18,42,27,10
Apr 19,25,15,10
Apr 20,17,8,10
Apr 21,24,12,10
Apr 22,0,0,10
Apr 23,3,3,10
Apr 24,28,28,10
