,Hochgestiegen Stockwerke,Hinabgestiegen Stockwerke,Ziel
Feb 28,29,24,10
Mrz 1,15,9,10
Mrz 2,14,8,10
Mrz 3,20,12,10
Mrz 4,6,4,10
Mrz 5,15,12,10
Mrz 6,21,18,10
Mrz 7,110,121,10
Mrz 8,18,40,10
Mrz 9,22,16,10
Mrz 10,48,32,10
Mrz 11,8,2,10
Mrz 12,18,12,10
Mrz 13,16,12,10
Mrz 14,13,10,10
Mrz 15,10,5,10
Mrz 16,6,6,10
Mrz 17,35,17,10
Mrz 18,18,13,10
Mrz 19,16,8,10
Mrz 20,52,52,10
Mrz 21,45,44,10
Mrz 22,10,9,10
Mrz 23,8,3,10
Mrz 24,15,6,10
Mrz 25,23,20,10
Mrz 26,11,4,10
Mrz 27,19,6,10
