,Hochgestiegen Stockwerke,Hinabgestiegen Stockwerke,Ziel
Jan 3,0,0,10
Jan 4,0,0,10
Jan 5,0,0,10
Jan 6,0,0,10
Jan 7,0,0,10
Jan 8,0,0,10
Jan 9,0,0,10
Jan 10,0,0,10
Jan 11,0,0,10
Jan 12,0,0,10
Jan 13,0,0,10
Jan 14,0,0,10
Jan 15,0,0,10
Jan 16,14,13,10
Jan 17,18,12,10
Jan 18,25,23,10
Jan 19,22,19,10
Jan 20,24,8,10
Jan 21,16,8,10
Jan 22,16,16,10
Jan 23,30,19,10
Jan 24,33,18,10
Jan 25,13,17,10
Jan 26,22,12,10
Jan 27,30,31,10
Jan 28,29,28,10
Jan 29,15,11,10
Jan 30,20,28,10
