,Hochgestiegen Stockwerke,Hinabgestiegen Stockwerke,Ziel
Mai 23,4,6,10
Mai 24,11,8,10
Mai 25,19,11,10
Mai 26,130,115,10
Mai 27,0,0,10
Mai 28,0,0,10
Mai 29,19,17,10
Mai 30,24,21,10
Mai 31,10,9,10
Jun 1,24,24,10
Jun 2,16,15,10
Jun 3,0,0,10
Jun 4,12,8,10
Jun 5,9,8,10
Jun 6,13,10,10
Jun 7,22,9,10
