,Hochgestiegen Stockwerke,Hinabgestiegen Stockwerke,Ziel
Jan 31,31,17,10
Feb 1,20,9,10
Feb 2,13,9,10
Feb 3,27,12,10
Feb 4,24,19,10
Feb 5,20,15,10
Feb 6,30,25,10
Feb 7,22,23,10
Feb 8,19,17,10
Feb 9,19,16,10
Feb 10,21,15,10
Feb 11,23,17,10
Feb 12,17,9,10
Feb 13,14,15,10
Feb 14,5,6,10
Feb 15,16,14,10
Feb 16,21,12,10
Feb 17,11,9,10
Feb 18,17,16,10
Feb 19,23,15,10
Feb 20,16,7,10
Feb 21,28,18,10
Feb 22,28,23,10
Feb 23,60,49,10
Feb 24,17,13,10
Feb 25,8,7,10
Feb 26,8,0,10
Feb 27,40,43,10
