,stress
Jan 3,-1
Jan 4,-1
Jan 5,-1
Jan 6,-1
Jan 7,-1
Jan 8,-1
Jan 9,-1
Jan 10,-1
Jan 11,-1
Jan 12,-1
Jan 13,-1
Jan 14,-1
Jan 15,-1
Jan 16,75
Jan 17,66
Jan 18,65
Jan 19,43
Jan 20,41
Jan 21,14
Jan 22,30
Jan 23,35
Jan 24,41
Jan 25,39
Jan 26,44
Jan 27,42
Jan 28,18
Jan 29,27
Jan 30,46
