Schlaf 1 Tag,
Datum,2023-02-23
Gesamte Schlafzeit,3h 7m
Dauer des Tiefschlafs,8m
Dauer des leichten Schlafs,2h 20m
REM-Dauer,39m
Wachzeit,18m



Daten für Schlafzeitleiste,
Ruheherzfrequenz,53 bpm
Durchschnittlicher SpO₂,--
Niedrigster SpO2,--
