,Aktuell,Ziel
01/31/2023,18593,6050
02/01/2023,23428,6050
02/02/2023,20391,6050
02/03/2023,16909,6050
02/04/2023,7142,6050
02/05/2023,4520,6050
02/06/2023,16744,6050
02/07/2023,19016,6050
02/08/2023,13743,6050
02/09/2023,20672,6050
02/10/2023,13569,6050
02/11/2023,6647,6050
02/12/2023,4899,6050
02/13/2023,15815,6050
02/14/2023,7609,6050
02/15/2023,21139,6050
02/16/2023,16180,6050
02/17/2023,15418,6050
02/18/2023,6660,6050
02/19/2023,5764,6050
02/20/2023,13195,6050
02/21/2023,20568,6050
02/22/2023,19000,6050
02/23/2023,28139,6050
02/24/2023,16351,6050
02/25/2023,2276,6050
02/26/2023,3437,6050
02/27/2023,25827,6050
