,Aktuell,Ziel
05/23/2023,16666,6050
05/24/2023,26320,6050
05/25/2023,15570,6050
05/26/2023,27317,6050
05/27/2023,9,6050
05/28/2023,0,6050
05/29/2023,8421,6050
05/30/2023,18191,6050
05/31/2023,13088,6050
06/01/2023,22847,6050
06/02/2023,8542,6050
06/03/2023,0,6050
06/04/2023,4210,6050
06/05/2023,11030,6050
06/06/2023,12704,6050
06/07/2023,12288,6050
