,Aktuell,Ziel
03/28/2023,12368,6050
03/29/2023,1907,6050
03/30/2023,5339,6050
03/31/2023,7918,6050
04/01/2023,4480,6050
04/02/2023,3998,6050
04/03/2023,12107,6050
04/04/2023,16057,6050
04/05/2023,28772,6050
04/06/2023,9169,6050
04/07/2023,0,6050
04/08/2023,4328,6050
04/09/2023,0,6050
04/10/2023,7522,6050
04/11/2023,7019,6050
04/12/2023,13136,6050
04/13/2023,10177,6050
04/14/2023,12835,6050
04/15/2023,0,6050
04/16/2023,3807,6050
04/17/2023,12420,6050
04/18/2023,25759,6050
04/19/2023,20752,6050
04/20/2023,12786,6050
04/21/2023,5050,6050
04/22/2023,0,6050
04/23/2023,2075,6050
04/24/2023,11330,6050
