Date,Date_Time,Total_Sleep,Deep_Sleep,Light_Sleep,REM_Time,Awake,Intensity,Steps,Stress,Elevation_Up,Elevation_Down
2023-05-19,1684447200.0,336,51,209,76,2,62,6952,37,13,10
2023-05-20,1684533600.0,0,0,0,0,0,0,0,96,0,0
2023-05-21,1684620000.0,0,0,0,0,0,0,0,-1,0,0
2023-05-22,1684706400.0,0,0,0,0,0,58,12135,47,21,20
2023-05-23,1684792800.0,432,76,292,64,34,0,16666,38,4,6
2023-05-24,1684879200.0,352,46,183,123,1,78,26320,25,11,8
2023-05-25,1684965600.0,390,53,273,64,0,32,15570,26,19,11
2023-05-26,1685052000.0,344,75,189,80,1,383,27317,36,130,115
2023-05-27,1685138400.0,0,0,0,0,0,0,9,-1,0,0
2023-05-28,1685224800.0,0,0,0,0,0,0,0,-1,0,0
2023-05-29,1685311200.0,0,0,0,0,0,127,8421,41,19,17
2023-05-30,1685397600.0,349,54,262,33,3,293,18191,40,24,21
2023-05-31,1685484000.0,363,47,232,84,1,0,13088,32,10,9
2023-06-01,1685570400.0,363,50,233,80,0,168,22847,43,24,24
2023-06-02,1685656800.0,360,48,198,114,0,32,8542,27,16,15
2023-06-03,1685743200.0,0,0,0,0,0,0,0,-1,0,0
2023-06-04,1685829600.0,0,0,0,0,0,602,4210,84,12,8
2023-06-05,1685916000.0,353,43,163,147,3,97,11030,46,9,8
2023-06-06,1686002400.0,338,31,222,85,2,22,12704,29,13,10
2023-06-07,1686088800.0,459,64,274,121,0,199,12288,27,22,9
2023-06-08,1686175200.0,0,0,0,0,0
2023-06-09,1686261600.0,0,0,0,0,0
2023-06-10,1686348000.0,0,0,0,0,0
